,TR:UZ007:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ007_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046.5,727.5,5792.5,23139,3007.5,1456,13237.5,497.5,372,382.75,723.75,1783.5,551.5,16054.3,471.5,429.75,2295,100,16543.3
UZ007_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3046.5,727.5,5792.5,23139,3007.5,1456,13237.5,497.5,372,382.75,723.75,1783.5,551.5,16054.3,471.5,429.75,2295,100,16543.3
UZ007_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3046.5,727.5,5792.5,23139,3007.5,1456,13237.5,497.5,372,382.75,723.75,1783.5,551.5,16054.3,471.5,429.75,2295,100,16543.3
UZ007_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4982,901,7640.5,26046,3679,2069.5,14949.5,574.5,533.5,630,812,1979.5,635.5,21582,648,527,3440,131,16772
UZ007_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4991,746,8855,29853,3257,2395,14573,530,473,408,879,2218.5,585.5,22458.5,457.5,528,3214.5,148.5,16898.5
UZ007_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6329,720,6250,24662,3099,1604,14228,444,401,377.5,795.5,1582,424,17464,501.5,465.5,2368,114,16528
UZ007_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6747.5,555.5,7685,31583,3218.5,1903,12939,493,323,437.5,753.5,1984,445,13837,464,409,2186,80,16587
UZ007_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,31017.5,732,10198,30325.5,2855,2351,20209.5,516,614,380.5,659,2504,579,18479,567,722.5,4869,96,16116
UZ007_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5476,720,8621,26300,3041,2058.5,14425,534,962,433.5,1149,2076.5,564,19979,456,501.5,2737.5,118,16610
UZ007_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5343,791,10216,28976,3711,1985,14751,470,473,361.5,726,1995,559,23381.5,557,397,3374.5,127.5,16542
UZ007_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21558.5,837,13971.5,35666,2796.5,2855,18225,595.5,429.5,375.5,1431,2256.5,525,17983,694,481,4119.5,134.5,16760.5
UZ007_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6184.5,818,5030,22724,3630,1724.5,13648.5,636.5,424.5,575,730,1846,560,17995,529,500,2081,123,16472
UZ007_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8862,804.5,5287.5,23024,2938,1546,13720.5,450,366.5,485,681.5,1505,385.5,18064,475,449,1664,112,16515
UZ007_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5202,811.5,12754,21801,3013,1636,14114,456,551.5,540,1960,1907.5,559,20348,513,462,1789,114,16692
UZ007_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4050.5,810,9911,29391,5036,4632.5,14425.5,535,438,412.5,1032,2261,622,25619.5,494,437,3903,114,16887
UZ007_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4602.5,689.5,6192,25665.5,3585,1679,13412.5,484,332.5,411.5,751,2077,539,17567.5,514.5,532,1998,127,16495
UZ007_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11654,686,3273,20602,3474.5,1122,17372,451.5,440.5,388,805,1280,410.5,17683.5,523.5,437,3679.5,91.5,16380
