,TR:UZ023:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ023_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4956.75,467.5,2864,24500.5,1086.5,1965,4400.75,509.5,330.5,366.25,842.5,1648.25,391,18260,388.5,372.25,1087.5,118,16427.5
UZ023_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4956.75,467.5,2864,24500.5,1086.5,1965,4400.75,509.5,330.5,366.25,842.5,1648.25,391,18260,388.5,372.25,1087.5,118,16427.5
UZ023_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4956.75,467.5,2864,24500.5,1086.5,1965,4400.75,509.5,330.5,366.25,842.5,1648.25,391,18260,388.5,372.25,1087.5,118,16427.5
UZ023_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8235,531,2430,20497.5,1222,2161,5351.5,570,372,404,748.5,1559,452,19102,431,435,1253,98,16368
UZ023_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7430,470,2276.5,22493,1067,2016,5272,468.5,313.5,369.5,732.5,1432,397.5,17879.5,345.5,338,1068,129,15949
UZ023_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13189.5,469.5,3169,29679.5,1198,2085.5,5493,521,320,417,960.5,1552,341,18640.5,409,412,1481,105,16098
UZ023_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8033,455,2409.5,22147,1121.5,1698.5,5323.5,485,288,399.5,747,1537,374,16336.5,349,376,913,121,16403
UZ023_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16156.5,614,2729,19102,1199.5,1673,7895,607,407,393,769,1538,550,19148,406,393.5,1214.5,112,16402
UZ023_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10043.5,495,3450,25908,1152.5,1981,5973.5,447.5,960,398.5,2041.5,1650,411,17337.5,424,540.5,1031,116,16264
UZ023_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22355,490,3470,27246,1079,1956,8456,502,404.5,367,977,1610,402,17764,386.5,458.5,1097,104,16379.5
