,TR:IB051:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB051_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233,1826.25,6719,32217.5,3950,3689.5,21120.5,827.25,843.5,464,2663,4379,1428,29523.8,486.75,592.5,1570.5,112.75,16476.5
IB051_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3233,1826.25,6719,32217.5,3950,3689.5,21120.5,827.25,843.5,464,2663,4379,1428,29523.8,486.75,592.5,1570.5,112.75,16476.5
IB051_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3233,1826.25,6719,32217.5,3950,3689.5,21120.5,827.25,843.5,464,2663,4379,1428,29523.8,486.75,592.5,1570.5,112.75,16476.5
IB051_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4355,2186,9716,40303,5470.5,4069,22770,938,1017,514,3596,7870,2865,29703,668,625,1953,133,16518
IB051_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4278,1875,7984,39322.5,4713,3777,22493,908,904,372,2999,6186.5,1770.5,30591,548.5,693,1628.5,124,16403
IB051_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4540,1697,8635,39542,4561,3878,22032,976.5,787,463,3547,5334,1036.5,31191,395.5,636,2152,127,16292
IB051_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4628,1737,8815,40488,4150,3578.5,23139,942,835,435,2689,5652,1353,30937,490,648.5,1759.5,139,16175
IB051_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4699,1481.5,8971,38527,4677,3966,23624,887,862,471,2587,6168,1711.5,31560,463,695,1553,137,16449
IB051_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4736,1925,10429.5,42333,4740,4040,23773.5,1046.5,1237,438,4241,6892,1672,32367,461.5,812,1915.5,140,16406
IB051_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4026,1613,9969.5,40672,4544.5,3299.5,20417,927,889,497,3737,5746,1268.5,27822,485,607.5,1706,108,16587
