,TR:CH032:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH032_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4908.25,466.5,7722,42570.3,2469.5,2957.5,6192.75,683.25,302,350.25,888.25,2729,549.75,29460,468,416.5,2666,111,17100.8
CH032_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4908.25,466.5,7722,42570.3,2469.5,2957.5,6192.75,683.25,302,350.25,888.25,2729,549.75,29460,468,416.5,2666,111,17100.8
CH032_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4908.25,466.5,7722,42570.3,2469.5,2957.5,6192.75,683.25,302,350.25,888.25,2729,549.75,29460,468,416.5,2666,111,17100.8
CH032_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5467.5,449,5927,38699.5,2398,3044.5,6500,528,316,396,900,3405,828,26531,464,526,2216.5,110,16621.5
CH032_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6317,516,8498,41180,2649,3413,7938.5,936.5,330,342,975,4648.5,836,33544,443,371,2243,150,17141
CH032_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6236,569,7089.5,43395,2491,3091,6169.5,714.5,398,335,1211,2272,440,26184,600.5,354,3004,111,17210
CH032_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6335.5,437.5,7557,41411,2540,3115,6954,758,267,430,882,2808.5,543,31421,435.5,470,2616,102,17152.5
CH032_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13633.5,577,10037.5,41065,2623,3851.5,7748,663,349.5,290,1104,4451,1052,36404.5,418,493.5,2417.5,122,17141
CH032_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5770,435,8106.5,41364.5,2492,3237,6668,642,1133,409,2132.5,3227.5,587,27291.5,357,539,2059.5,122,16841
CH032_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8319,540,8660,47709,2849.5,3658,8601,811.5,429,252,1321,5109,696,30452.5,416,254,2768,98,16633
CH032_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14078,494,10420,47247,2318,3023.5,10770.5,931,367,343,1280,2140,421,20186,474.5,472,2570.5,101,17187
CH032_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6326,600.5,13389,54376,3513.5,4314.5,11001.5,2516,398,472,1433,5890,1118.5,33636,506,386,4146.5,121,17141
CH032_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7898,501,9310,46486,2720,3419.5,7490,751,338.5,412,1218,2916,455,35205,458,424,3557,120,17291
CH032_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5785,535,22989.5,45656,2644.5,3146,5962,676,498,290,8386.5,3661,607,21271,765,270,3091.5,104,17164
CH032_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5686,515,9543.5,44248,4131.5,5898,7279,772,348.5,355.5,1161.5,5784.5,1153,31029,392,433,2537,113,17049
CH032_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7889.5,576.5,9223,57225.5,3870.5,4874,14219,3939,353.5,247,1229.5,7505,1471.5,36831,615,437,3765.5,170.5,17106.5
CH032_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13688.5,381,2107,33475,3447.5,1614,22643.5,729,419.5,312,873,2111.5,641.5,15180,295,233,737,87,16610
CH032_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5702.5,524,9132,43879,2742,3682.5,7652.5,1105,374,539,1064.5,3790,735,34374,506,460.5,3398,110,17083.5
CH032_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6686,485,8946,46671,3211,4262,7034,848,298.5,409,1308,5219,1028.5,33094,571,417,3421,153,17129.5
CH032_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6007,487,7594,45517,2713,3542,6022,646,279,370.5,1105,4095.5,711,31168,496,360,2874,104.5,17003
CH032_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4625,458,7005,50950.5,3079.5,3806,15582.5,5827.5,293,544,884.5,7325,1125.5,34628,433,236,2832,95,17303
CH032_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5487,495,7636,46578,2787.5,3444,6354,727,272,404,1000,3505,612.5,29137,455,367.5,3120,122,17106.5
CH032_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7345.5,473,8013.5,43095,2527.5,2732,6855,570,305,408.5,793,2608.5,531,23093,283,479.5,1309.5,102,16980
CH032_25_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4890,631.5,9971,43902,3755,4645,8071,973.5,413,416.5,1022,10389,4487.5,39750,478,472,3822,112,17303
CH032_25_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4089.5,707,11875,38965,3715,4859.5,13302,2704,340.5,404,1120,11332,3098.5,38930.5,489.5,434,3680,106,17441
CH032_25_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4024,411,6982,44756,2677,3085,4989.5,825.5,299,333,1021,2443.5,439,26231,541,536.5,3886,92,17118
CH032_25_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4927,596,7569.5,43395,2565,3019,5970,707,306,386,985,2870.5,603,NaN,692,447.5,2618,117,16980
CH032_25_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3607.5,535,8044,40765,2479,3304.5,5337,776,263,406,986,3257,615,30683,497,311,3062,96,16956
CH032_25_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3153.5,423,6571,36612,2126.5,2711,5537.5,687.5,2106,332.5,2855,2766,459.5,21397.5,438,408,2154,106,16614.5
CH032_25_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3887.5,433,8906,45344.5,2364,2973,6244,645,1099.5,335.5,1145,2956,527,28515,445,475,2879,96,17095
CH032_25_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,13711,446,7524,39645.5,1700.5,2398,10726,699.5,328.5,248,830.5,1545,362,24823.5,452,304.5,1921,108,17118
CH032_25_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4783,637,7717,38884.5,3099.5,3887,8453,1510,297.5,491,925,6232.5,1004.5,32321,612,379.5,2260,111,17233
CH032_25_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5574,519,8352.5,44352.5,2480,2720,7140.5,825,280,410.5,849,2273,489.5,33844,447,412.5,5044,84,16841
CH032_25_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4885,495,22055,40788,2641,3394,6423,760,587,380,4971,4044.5,836,33382,508.5,416,2737,95,17221.5
CH032_25_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4107,413,7090,42356.5,3076,4517,5357,537,225,498,865,3006,513.5,26911.5,520.5,328.5,1876,134,16875.5
