,TR:IB042:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB042_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,1692.25,2393.5,27257,3035,2288.75,17572.5,1236.5,1287,1064,1837.25,3871.25,933,22873.5,2135.75,928.5,1470,102.5,16852.5
IB042_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,874,1692.25,2393.5,27257,3035,2288.75,17572.5,1236.5,1287,1064,1837.25,3871.25,933,22873.5,2135.75,928.5,1470,102.5,16852.5
IB042_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,874,1692.25,2393.5,27257,3035,2288.75,17572.5,1236.5,1287,1064,1837.25,3871.25,933,22873.5,2135.75,928.5,1470,102.5,16852.5
IB042_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1067,1687,3036,22678,3290,2135,16765,1103,1492,1129,2029,4133,1747,17810,2053.5,887,1515,95,16956
IB042_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1226,909.5,3960,28745,2364,2432,15871,890,648,430,1889,3740,1117,21317,479,606,1229,122,16594.5
IB042_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1032.5,872.5,2647.5,25216,2002,2273.5,15061.5,844.5,604,405,1337,2948.5,712.5,19990,411,528.5,1182,93,16795
IB042_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1288,886,3229,27753,1882.5,2283,15433.5,825.5,570,419.5,1499.5,3400.5,750,24708,429,483.5,1245,86,16818
IB042_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,894,907,1886.5,21858.5,1929,1977,15143.5,707,600,463,849.5,2409,714.5,22078,373,493,1097,128,16610
IB042_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,853,965.5,2369,21743.5,1850.5,2037,15730,765,1225,378.5,1785,2376,698,20878,453,847,1107,97.5,16737
IB042_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1004,1018,2208.5,25861,1826,1955.5,16254,755,625.5,390,1037.5,2391.5,625,22689.5,449,435,1128.5,98,16680
IB042_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IB042_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IB042_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1099,2922,3553,28318.5,4630,2679,20163,2536,2482.5,2573,2383,4986,1030,24985,5268,1314,2192,114,16921.5
IB042_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,796,825,6338,25757.5,2380,2675.5,15278,808,616.5,391,2017,3254,1027,25111.5,389.5,438,1104,79.5,16703
IB042_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,736,724,1416,18421.5,2430.5,2070.5,14502.5,901,591,413.5,734.5,1855.5,695,14402,416,446,1064,102.5,17003
IB042_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,734,738.5,1255.5,18248,1856,1450.5,15462,1250.5,625,508,877,1764,728,12686,422,524,928,99,16680
IB042_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1687,801,980.5,15318,2431,945.5,23116,689,776,390.5,1000,1544.5,659,13088,388,411,1050.5,104.5,16727
IB042_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IB042_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IB042_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IB042_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,745.5,1045,1915,23877,2562.5,2052.5,16623,1032,781,547.5,947,2972,857,22181.5,730.5,569,1089,111,16737.5
IB042_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,654.5,789,1647,22989.5,2096,1827,15431,728,581.5,404,760,2476,732,20532,429,483,914,94,16933
IB042_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,837,878.5,2135.5,23854,2338,2260.5,15491.5,819,571,408,926.5,2648,758,20809,408,375.5,1114,106,16887
