,TR:KI001:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI001_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3286.5,557.25,4612.75,32483,3118.25,4041.5,8135.25,1425,317.5,377.5,1058.5,3549,979.25,28900.8,487.5,394.75,1940.75,108.25,16529.5
KI001_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3286.5,557.25,4612.75,32483,3118.25,4041.5,8135.25,1425,317.5,377.5,1058.5,3549,979.25,28900.8,487.5,394.75,1940.75,108.25,16529.5
KI001_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3286.5,557.25,4612.75,32483,3118.25,4041.5,8135.25,1425,317.5,377.5,1058.5,3549,979.25,28900.8,487.5,394.75,1940.75,108.25,16529.5
KI001_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5403,598,6437.5,34985.5,3634,4287,8491,1152,370,420.5,1668,5910.5,2521,28353,598.5,560,2600.5,107,16506
KI001_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3924,748,4560,32067,3061,3275,6940,1063,346,389.5,1237.5,2651,656,26646,414.5,494,1934,115,16818
KI001_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4208,654,4374,33175,2987,3255,6486.5,1080,425,558,1228.5,2184,433.5,27200,546.5,473,2385,117,16352
KI001_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5425,769,4949,32436,2720.5,3346,7505,948.5,327,414,1397,2701,541,27419,505,435,2225,95,16371.5
KI001_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5733,785,4179,26588.5,3217,3764,6862,1035.5,387.5,632.5,1646,2620,777,31168,555,457.5,1915,90,16271.5
KI001_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4243,805,5064,27707,3430,3228,6457,991,2077.5,512,2053.5,2901,818,27269,431,583,1751,113,16273
KI001_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5107.5,749,4697,31594.5,3681,3723,6959,1006.5,445.5,356,1329,2805,701,27869,504,370,1924,123.5,16610
