,TR:KI049:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI049_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505.25,948.5,4598,37228,1174.5,3334,11804.5,1377.5,505.25,366,760.5,2126,598.5,32923.5,402,556.75,2805.5,126.75,16108.5
KI049_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1505.25,948.5,4598,37228,1174.5,3334,11804.5,1377.5,505.25,366,760.5,2126,598.5,32923.5,402,556.75,2805.5,126.75,16108.5
KI049_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1505.25,948.5,4598,37228,1174.5,3334,11804.5,1377.5,505.25,366,760.5,2126,598.5,32923.5,402,556.75,2805.5,126.75,16108.5
KI049_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1740,1284.5,5199,41475,1627,3477,10694,1066,803.5,753.5,1142,2513.5,667.5,30512,732,682,6241,130,16400
KI049_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1577.5,876,3748.5,38590,1133,2633,9599.5,958.5,551.5,374,774.5,1691,454,27557.5,450.5,613,2547,106,16272
KI049_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1601.5,964,4956,39975,1063,3258.5,8941,805,486.5,423.5,880.5,1787,387,29080.5,379,491,4677,105,16018
KI049_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2017.5,954,4693.5,41682,1076.5,2764,10659,933,513,356,785,1822,398,29000,404.5,506,2424,80,16248
KI049_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1864,1016,4367,40009.5,1164,2860,8955,957,488.5,364,778,1888.5,534.5,26761,386,527.5,2405,141.5,15987
KI049_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1720.5,951,6379,38301.5,1134,3123,9347,799,2947,407,2283,1869,488,28088.5,361,998,2618,128,16474.5
KI049_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2066.5,903,5071,39698,1081,3070,9454,781,516,386,744,1852,448.5,29312,384,478,3519,100,16186
