,TR:IB009:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB009_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9128.5,708,2864.5,20460.5,2194.75,2925,14690,763.5,379.5,390,573.75,4279.25,1302,21799,508.5,481,1504.5,110,14681.8
IB009_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9128.5,708,2864.5,20460.5,2194.75,2925,14690,763.5,379.5,390,573.75,4279.25,1302,21799,508.5,481,1504.5,110,14681.8
IB009_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,9128.5,708,2864.5,20460.5,2194.75,2925,14690,763.5,379.5,390,573.75,4279.25,1302,21799,508.5,481,1504.5,110,14681.8
IB009_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8924,888.5,2866,23507,2292,3252,13180,727,519.5,508,759,3706,1340,21995,713,493,1569,105,15113.5
IB009_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7790,792.5,3123,21268.5,2357,3604,15072.5,866,368,340,595,4729,2015.5,24211,584,539,1537,109.5,14942
IB009_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7329,715.5,2655.5,20772,1703,2651.5,14668.5,857.5,357,353,593.5,2513,733,21441.5,549.5,485,1678,108.5,15125
IB009_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9330.5,830,2742,23195,1730,2626.5,15202,790,349,369,624,2902.5,822,21972,556,562.5,1348,123,14816
IB009_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10067,750,2710,22376.5,1922,3068,14952.5,808.5,423,387,597,3033,818.5,22088,598,612.5,1594,94,14873
IB009_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8757.5,714.5,3413,22088,1826.5,2700,13616.5,684,661,409.5,864,3006.5,852,21280,540.5,619,1470,114,14741
IB009_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9230,826,3328,22295,1708.5,2402.5,15671,744,396,479,682.5,2689,822,19156,580,536,1266.5,118,15071.5
IB009_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10611.5,767.5,3030.5,21211,1490.5,2103.5,15018,579,451,364,552,1837.5,472,20264,468,545,1282.5,131,14914.5
IB009_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6829.5,873,2185,22111,1417.5,2865,20357,1810,447,635.5,684,3955,1285.5,18072,728,598.5,1694,126,15161.5
IB009_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9269,778,2226,22549,1229.5,2087.5,15855,853,373,353.5,624,2081,612,20010,546,544,1577,91,15153
IB009_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9587,708.5,6208,23034,1665.5,2956,16489,700,361,494,972,3477.5,1234,19121.5,528.5,451,1415,104.5,14971.5
IB009_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8360,626,2503,23057,3012,4899,13286,629.5,348,398,532.5,3927,1213.5,19133,486,467,1593.5,115,14919
IB009_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11222.5,520,2857,26507.5,3215.5,4597.5,22595,2087.5,370.5,404,486,5185,1534.5,18475.5,474,449.5,1371,82,14664
IB009_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19849,571.5,1197,12971.5,3696,1883,36708.5,839.5,573,525,675,1715,892.5,20033,373,503,1475,105,15013
IB009_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10456,773.5,2653,20726,2817.5,3769.5,13690.5,873,466,432,573,3796.5,1078,19203,835.5,456,1534.5,95.5,14847
IB009_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11808.5,703,2612,22341,2936.5,3934,13385.5,671,367.5,595,610,3693.5,1249.5,19549,621,451.5,1487.5,65,14857
