,TR:UZ003:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ003_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,609.25,2880.5,28601.8,1268,2339,5716,712,368.5,381,613.75,1948.25,582,21106.5,401,421.75,1815.5,116,14932.8
UZ003_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2810,609.25,2880.5,28601.8,1268,2339,5716,712,368.5,381,613.75,1948.25,582,21106.5,401,421.75,1815.5,116,14932.8
UZ003_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2810,609.25,2880.5,28601.8,1268,2339,5716,712,368.5,381,613.75,1948.25,582,21106.5,401,421.75,1815.5,116,14932.8
UZ003_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3358,695,2732.5,25480,1264.5,2786,7055.5,792,518,489.5,641,3391.5,1652.5,24303,499,491.5,2089,119,14981
UZ003_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3507,602,2806.5,25134,982.5,2512,6308,650,424,414,724.5,2035,502,19110,321,607.5,1596.5,129,14830.5
UZ003_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3640.5,383.5,2503.5,25088,895.5,2032,6390,660,306,382,695,1616.5,369,17772,382.5,362,1822.5,142,15277
UZ003_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4413,585,3019,29623.5,1131.5,2339,7596,584,346.5,300,710,2038.5,452,21903,439,406,1825,113.5,15044
UZ003_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4549,612.5,3281,32450,1152,2357,7361,631.5,362,441,731,2330,540,20680,494,578,1735,111.5,14751
UZ003_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2947,649,2867,24626,1200,2428.5,6159.5,675,1163,361,873,1732,530,23495.5,458,511.5,2017,107.5,14988
UZ003_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1885,462,3081,31043,1062,2128,4072,639.5,334,320,734.5,1892,452,18822,473.5,469,1792,105,14801
