,TR:KI010:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI010_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2199,745,6485.25,39155,1346.25,4513,9304.75,1272.25,435.5,439.5,1090.5,3125.5,774.75,33679.5,587,494,3177.5,125,14928.5
KI010_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2199,745,6485.25,39155,1346.25,4513,9304.75,1272.25,435.5,439.5,1090.5,3125.5,774.75,33679.5,587,494,3177.5,125,14928.5
KI010_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2199,745,6485.25,39155,1346.25,4513,9304.75,1272.25,435.5,439.5,1090.5,3125.5,774.75,33679.5,587,494,3177.5,125,14928.5
KI010_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4382,901,6831,39859,1978.5,5361,12021,1267,545,508,1179,5660,2291,37482,691.5,580,4036.5,114,15114
KI010_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3792,819,6937,40193.5,1692.5,5048,11103,1226,462,401.5,1156,4451,1051.5,35024,635,495,3453,79.5,14906.5
KI010_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3848,725.5,6748,40505,1265.5,4565.5,9763,1076,461,446,1246.5,2954,617.5,32162,512,675.5,4218,144,14962
KI010_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4343.5,719,7496,39928,1268,4495.5,11671,1211,460,402,1234,3985,804,35035,508,546,3397,76,14904.5
KI010_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18418,783.5,6723,35312,1729.5,4993,21152.5,1073,477,426.5,977,4383,960,34550.5,542,515,3445.5,115,15061.5
KI010_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4716,760.5,7512,40274.5,1587,5003,11299,1165,1741.5,461,1824,4449.5,928,33812,568,882,3044,131,15082.5
KI010_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2842,802,6168,41001.5,1353,3991,11494,1138,459,443,1163.5,3380,780.5,30673,564.5,444,2494.5,108,15141
