,TR:UZ021:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ021_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3858,633,2976,31063.8,1448.75,2292.25,4756.5,597,414.5,371.5,715,2952.75,428.5,19973,409,435,1362.25,110.5,16666.8
UZ021_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3858,633,2976,31063.8,1448.75,2292.25,4756.5,597,414.5,371.5,715,2952.75,428.5,19973,409,435,1362.25,110.5,16666.8
UZ021_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3858,633,2976,31063.8,1448.75,2292.25,4756.5,597,414.5,371.5,715,2952.75,428.5,19973,409,435,1362.25,110.5,16666.8
UZ021_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UZ021_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4622.5,3183,3365,34651,5912,2911,11330.5,1577.5,2550,3127,1971,5907,593,23462,7240.5,1172,3717,116.5,16296
UZ021_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5873,693,3642,35412,1634.5,2753.5,5532,660,389.5,478,976.5,3150,387,5457,386,388,1635,103,16426
UZ021_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5309,614,3971,35066,1720,2620,5986,611,348.5,345,678,3616,439.5,29691,357.5,420,1354.5,110.5,16875.5
UZ021_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12320,742.5,4107.5,27984,1966.5,2451,13697,650,474,352.5,722,4002,742.5,21997,551,510.5,1701,110,16291
UZ021_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5572,574,3582.5,31144.5,1645.5,2527,5202.5,650.5,1315.5,389,NaN,3676,539,20694,473,722,1424,106,16566
UZ021_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7202,549,3807,36912,1626.5,2666,5734,581,513,518.5,950,4034,484.5,21132,464,358,1973,105,16598.5
UZ021_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7932,699,3956,30071.5,1634,2217,8495,714,639,603.5,758.5,2345,481,21743.5,1066.5,473,1589,113,16956
UZ021_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UZ021_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8948.5,832.5,2574.5,31075,1386,1845,6464,665,439.5,480,732,2197,402,20405.5,587,498,1212,114.5,16376
UZ021_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5502.5,447,8632,29933.5,1607,2245,4840,662,446,265,1153,3490,430,18087,436,200,1300,87,16368
UZ021_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5841,576,3393,33682,2262,3645,4981,507.5,508,412.5,754,4014,549,22747,532,495,1591,130,16278
UZ021_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4894,631,2865,31098,2137,3015,4946,808,511,322,640,3904,478.5,22101,479,370,1221.5,111,16385.5
UZ021_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13093,538,1936.5,24570,2599,1857,28007,514,496.5,503.5,967,2381,585,23324,595,500,1867,101,16378
