,TR:CH033:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH033_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4067.75,932.75,17691,41607.3,2050.25,5039.5,15534.5,1045.5,428,539.5,1108,3465.5,804.5,33408.5,961,459,7136,97.75,14852.5
CH033_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4067.75,932.75,17691,41607.3,2050.25,5039.5,15534.5,1045.5,428,539.5,1108,3465.5,804.5,33408.5,961,459,7136,97.75,14852.5
CH033_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4067.75,932.75,17691,41607.3,2050.25,5039.5,15534.5,1045.5,428,539.5,1108,3465.5,804.5,33408.5,961,459,7136,97.75,14852.5
CH033_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8053,NaN,17990.5,40505,2794,6335,17147,1037.5,469,311,1033,7125,3084,33004,1078.5,699.5,6390.5,100,15029
CH033_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5278,1144,22872,40990,2335,6210,16392,980.5,560,428,1266.5,4433,1231,47452.5,1114,537,9174,122.5,14973
CH033_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4168,976.5,21095,40736,1970,5531,12448.5,973.5,480.5,625.5,1765.5,3383,754.5,36697,869,549.5,8105.5,85.5,14612
CH033_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5638,NaN,16338,35105,1820.5,4580,11713,865.5,350,485,1043.5,3601,795.5,28688,808,576,3986.5,106.5,14756.5
CH033_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9402,837.5,18279,39282,1948,5436,11493,966,425,531,1061,3569,979,15914.5,1021.5,476.5,5818,118,14902.5
CH033_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5781.5,902.5,22895,43783,2369,5035,13460,1081.5,2975,680,3668,4569,1120,35739,1381,788.5,7992.5,89,14830
CH033_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5396,846,18048.5,43436.5,1869,4210,10963,838,454,NaN,1405,3124,550,25503.5,951,471.5,6789,107,15207
