,TR:CH026:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH026_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882.75,620.5,3321.5,36789.5,1023.25,2641.5,5041.5,701.75,371,432.5,717.5,2209.5,440.5,20546.8,584.25,417,2567.5,98.5,15472.8
CH026_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1882.75,620.5,3321.5,36789.5,1023.25,2641.5,5041.5,701.75,371,432.5,717.5,2209.5,440.5,20546.8,584.25,417,2567.5,98.5,15472.8
CH026_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1882.75,620.5,3321.5,36789.5,1023.25,2641.5,5041.5,701.75,371,432.5,717.5,2209.5,440.5,20546.8,584.25,417,2567.5,98.5,15472.8
CH026_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3948.5,688,5058,41313,1519,3652,7363,869.5,483,529.5,946,4897.5,1690,23345.5,691.5,416,3891,91.5,15392.5
CH026_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2841.5,557,3824,40921,1144,2652.5,5980,812,353,442.5,796,2420,458,18926,518,336,3019.5,121,15342
CH026_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4007,703,3733,32866,1082.5,2835.5,5913,686.5,420,407,725,1978,406,21349,551.5,437,3000,122,15441
CH026_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3913.5,712,3955,34493,1077.5,2721,6632,694,397,442.5,751.5,2362,397,21268.5,517,433,2920,117.5,15465
CH026_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22376.5,600,4829,29958,1240,2553,14018,602,376,467,807,3661,774,20183.5,471,358,3108,128.5,15478
CH026_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3198,676.5,4691,33281,1025,2705,5869.5,630,2488.5,431,2858,2316,414,17748.5,516,646,3183,90,15146.5
CH026_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2815,551,3965,33362.5,1013,2596,6275,578,420,398,712,2011,406.5,19064,470,523,2737,82,15253
CH026_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8645,664.5,3713,36720,1025.5,2651,10138,747.5,430,428.5,775,1823,429,18902.5,480.5,498,2235,102,15421
CH026_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2612,671,3306,42675,1256,2760,9246,2616,396,557,782,3311,520,21511,578,509,3235,93,15594
CH026_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4660,639,4456,37690,1208,2529.5,5757,852,398,486.5,776,2367,405.5,23357,623,438,4837,104,15602.5
CH026_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3287,639,24707.5,37343,1290,3317,5680,803,1291,451.5,6817,4077.5,1283.5,23495.5,556,484.5,3084,101.5,15445
CH026_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2791,706,4273,41129,2118,6391.5,5535.5,928,453,501,760,3947.5,1011.5,23542,589,441,3311,111.5,15822
CH026_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2469,531,2897,36201,1258,3358.5,7896,2020,375.5,451,664,2696,445,19941,486,429,2570.5,103.5,15671.5
