,TR:UZ011:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ011_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5617.25,943.25,17187.8,43621.5,1746,2481,16136.5,559.5,469,397,1442.5,2332,603,20829.8,437.75,336.5,3987.25,108.25,16121.8
UZ011_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5617.25,943.25,17187.8,43621.5,1746,2481,16136.5,559.5,469,397,1442.5,2332,603,20829.8,437.75,336.5,3987.25,108.25,16121.8
UZ011_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5617.25,943.25,17187.8,43621.5,1746,2481,16136.5,559.5,469,397,1442.5,2332,603,20829.8,437.75,336.5,3987.25,108.25,16121.8
UZ011_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5941,1005,15956.5,38878.5,2085.5,3132,19549,750,499,419,1242,2838,1480,21983.5,511,420,4647,99,16235
UZ011_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4882,834.5,17944.5,39190,1749,3096,17448,561,474.5,344,1002,1981,616,19398.5,435,511,4678.5,120,16149.5
UZ011_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6914.5,1001.5,14441,39190,1873,3278,14708.5,562,516,284,1477.5,1758.5,459,22583.5,444.5,456,4796,139,15547
UZ011_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6315,1352,16736,38220,1912,2992,17321.5,458,572,428.5,1125,2128,644,21464,395.5,514,4045.5,121,16159
UZ011_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6045,1230,18972,43113,1806.5,2857,17495,506,474.5,395,1375,1999.5,614,17887,422,366,3631,88,16060
UZ011_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5371.5,1112,15888,36905,1966,2468,15961,565,2357,392,2237,2136.5,694,27073,435,619,3862,94,16182.5
UZ011_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6065,NaN,13839,41336,1932,2016,17033,543,326,NaN,1502,2114,568.5,15026.5,406,NaN,2236,105,16249
UZ011_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,67209,995.5,18118,38578.5,1718.5,3387,31573,1114,554,438,1048,4242,1636,26196,507,489,3968.5,128,15965
UZ011_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5150,1128,15615,39074,2065,3043,19502.5,1166.5,489.5,325,1016,3323,1086.5,24372.5,424,492,4832.5,149,16134
UZ011_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5351,969.5,15013,40424.5,1608,2841.5,16698,609,448,280,890,1607.5,510,25273,472.5,395,4999,108.5,16265
UZ011_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4078,736,24072,21349,994,2690,9390,449.5,1078,312,2853,1945,763,18903,401,576,1391,93,15763
UZ011_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4695.5,953,13252,37367,2559,3697,16516,586,410,355,973,2866,708.5,19226,342,469,3455,88,16220.5
UZ011_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5366.5,1119.5,14742,41313,3009,3635.5,19456.5,1177,508,509.5,1278,4228,1378,20876,416.5,474,3051,67,16043
UZ011_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3444,833,5178.5,42490,2112.5,1413,19398.5,563,384,427.5,1346.5,2278.5,454,18672,420,387.5,5018,93,16074
UZ011_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5379,1023,10033.5,27534.5,1544,2217,16696.5,598.5,433,395,905.5,1777,534.5,19964,317,528,1715.5,147,16152
UZ011_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4686,1053.5,14459,40309.5,1965,2999,13756,719.5,497.5,436,1078,2504.5,698,27500,449,389.5,5180,110,16325
UZ011_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6004,931.5,15581,41198,1724,3098,12985.5,640,425,396,1099,2331,666,26565,488,442,4774,96.5,16180
UZ011_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5550,1025,12766,35185.5,2114,2607,23772,1910,488.5,476,865,5705,2054,25192,482,364,3436,135,16414
UZ011_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5935,NaN,13720.5,42167,2044,2053.5,15339,569,431.5,286.5,1382,2366.5,508.5,18972,388,476,4211,110,16264
UZ011_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3764.5,1011,16654,41209.5,1935,2127.5,10979,558.5,537,602,1449,2419,690.5,18579,438,454.5,4050,83.5,16450
UZ011_25_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5731,1344,13542,33512,2358,3545,19133,1007,615.5,482,935,7162,5485,NaN,444,529.5,4240,92.5,16464
UZ011_25_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4011,1325.5,13802,36097,2076,3133,16218.5,861,462,462.5,993,3171,1083,24003.5,361,564,4338,133,16022
UZ011_25_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4551,NaN,13481.5,39167,2146,2536,19780,701.5,414,NaN,1406,3391,654,NaN,382,NaN,3964.5,102,16021
UZ011_25_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,90681,1234,24096,42929,6071,4796,32797,1001.5,432,374.5,1356,4720.5,1167,28042,545,590,5093.5,137,16337
