,TR:KI024:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI024_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2942.5,515.5,4610.75,23001,2853,3013,3322,744,323,452,692,1642.5,407,33428.5,587.25,549.25,3628,114.75,17331.3
KI024_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2942.5,515.5,4610.75,23001,2853,3013,3322,744,323,452,692,1642.5,407,33428.5,587.25,549.25,3628,114.75,17331.3
KI024_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2942.5,515.5,4610.75,23001,2853,3013,3322,744,323,452,692,1642.5,407,33428.5,587.25,549.25,3628,114.75,17331.3
KI024_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6440.5,463,5746.5,25515,4067,4009,5398,818,397,466,1008.5,2953.5,853.5,35597,825,614,4419,106.5,17198.5
KI024_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4282.5,451,5060,24581.5,3009,3006,3773,842,345,428,592.5,1965,455,36346.5,544,531,4004,122,16910
KI024_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4142,409,5795.5,25861,2756,3291,3488.5,712,301,530,582,1864.5,346,30671.5,548,533,6973,100,17164
KI024_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6856,431,6296.5,28156.5,2865,3360,4521,784.5,337,455.5,611,2592.5,463,32713,671,575,6015,127.5,17141
KI024_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4908,454.5,4699,21824,2975,2890,3373,743,321,440,463,1972.5,526,31952,591,494,3409,107,17095
KI024_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3769,535.5,5213,22586,3003.5,2952,3645,724,890.5,441,NaN,1758.5,395,31767,624,728,3410,136,17118
KI024_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4708.5,390,5477,23116,3327.5,3039.5,4351,699.5,352,364,539.5,1986,448,33336,558,577.5,3614,112,17395
KI024_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8297,452,6075,24708,2305,3077,7610,888.5,340.5,411,556.5,1483,396,32090,604.5,570,3146,108,17395
KI024_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4258,569,4800,25677,3003,3022,4964,1683.5,363,451.5,331,2148,455,35124.5,554,492.5,4064,121.5,17314.5
KI024_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4467.5,506,4452,22873.5,3060,3096.5,3807,770,354,431,449,1731,400.5,34928,529,582,4339,119,16980
KI024_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2995,417.5,13235,23035.5,2958,3030.5,3577.5,721,526.5,419.5,1315,2275,645,31340.5,549,516,4217,116,17187
KI024_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3582,489.5,4602,22493,3855,4367,3644,737.5,361,537,850,2333,604,34859,635,537,3683,166,17129.5
KI024_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5057,598,4699,24408,4483,4477,4914,1209.5,333,466,676,3338.5,1079,35113,531,521,4040.5,123,17152.5
KI024_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4719,444,1040,10461,3905,1553,15234.5,643,316,541,545,929,414,26738,423,538,3517.5,75,16818
KI024_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3035,575.5,4355,22158.5,3441,3922,3737,791,306,402,745,2268,590,32944,659,536,3129.5,119,16509
KI024_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2691,426,4116.5,20440,3210.5,3425,3064,587,318,472,611.5,1902,564,29795,557,480,3408,110,17210
KI024_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3130,456,4195.5,20394,3044,3152,3251.5,734,335,445.5,518,1868,564.5,30475,589.5,545,3118,99.5,17244.5
KI024_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3340,561.5,4567,27315,3950.5,3659,6008,3203,323,531.5,486,2798.5,666,33497.5,643,589,4299.5,119,17326
