,TR:CH038:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH038_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2871.5,395.25,6756,25354,2359.25,3374.5,2871,735.75,335,438.75,626.75,2888.5,475,25844.3,610.5,502,6202,116.25,17343.3
CH038_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2871.5,395.25,6756,25354,2359.25,3374.5,2871,735.75,335,438.75,626.75,2888.5,475,25844.3,610.5,502,6202,116.25,17343.3
CH038_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2871.5,395.25,6756,25354,2359.25,3374.5,2871,735.75,335,438.75,626.75,2888.5,475,25844.3,610.5,502,6202,116.25,17343.3
CH038_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6214.5,441,7674,24708,3086,4619,4892,725,442,550,727,5443,1175.5,26300,744,521,5316.5,103,17406.5
CH038_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4196,383,7669,24500,2800,3788,4030,737,341,437,686,4236,775,25838,632.5,484,4686,124.5,17337.5
CH038_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4707,432,15188,26300,2383,4851,3749,776.5,335,419,858,2328,497.5,25342,570.5,576,10286,86,17718
CH038_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4048,386.5,6546.5,23324,2710,3537,3829,737,322,467.5,572,3769,714.5,26496,576,554,4419,118,17498.5
CH038_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4492,361,6235.5,23139,2278.5,3087,2856.5,588.5,340,436,554,2152.5,389.5,22758.5,493,463.5,4447,112,17579
CH038_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2818,414.5,6911,25192,2607.5,3032,2807,663,447,407,638,2277,385,24581.5,597,502,5221,119,17349
CH038_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6182.5,335,7142,25308,2273,3204,4366,650,317,441,631,1939.5,343,22216,561.5,549,5556,111.5,17579
CH038_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10264,370,7490,22920.5,1967,3415,8713,761.5,311,498.5,705,2109,387,25769,557,535,4473,99,17498.5
CH038_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2988,422,10070.5,30706,2541.5,4525,4987,2227.5,340,438.5,756,4401,751,28952.5,572,534,7635,114,17787
CH038_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3277,484,14617,23796.5,2303,4051,3401,662.5,286,419.5,795,1898,362.5,28261,574,408,9402,100.5,17326
CH038_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3497,354,15786,24454,2892,4151,3131,685,472.5,463,3464,4809,883,29783,616.5,499,6529.5,98,17625
CH038_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3395.5,378,6504,24627.5,3503.5,5742,2971,605,339,431.5,613,4947,807,25607.5,605,422.5,5044,116,17556
CH038_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2836,391,6588.5,27626.5,2753,4132,3882,1254.5,357.5,412,591,3646,553,26034.5,587,450,4901,96,17487
CH038_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6851,354,1566,16910,3692,2003.5,21155,843,416,577.5,669,2013,544,23300.5,523,458,3020,105,17233
CH038_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3486,418.5,7385,26126.5,2388,3311,3259.5,673,333,347,544,2506,421,24385,503,385.5,5987,88.5,17452.5
CH038_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3153,494,7226,25515,3111,3978.5,3164.5,801,383,614.5,668,3958.5,654.5,29460,934,538,6509,117,17602
CH038_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2891,349.5,6696,24893,2394,3581,2513,781.5,339,487,523.5,3195,522,27661,619.5,392,6481.5,112,17187
CH038_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2624,303.5,6564,34005,2309,3602.5,4832.5,3256,277,444,503,3854,550,26969,554,386,5342,108,17429.5
CH038_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2385,411,6235.5,24500,2329,3626.5,2365.5,689.5,361,414.5,760,2926,535,24408,586.5,396,5191,123,17510
CH038_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2924,392,6800,24385,2565.5,3480,2864.5,674,358,397.5,672,2971,521,24085,620,575,5310,124,17487
CH038_25_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2589,503,8431.5,24973.5,3099,4417,3779,914,412.5,576,746.5,6339.5,1398.5,32448,732.5,476.5,8769,101,17487
CH038_25_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2423,431,7478.5,22586,2690,4135,4754,1464,377,412,621,6653,959,31906,655,454.5,5937,109,17326
CH038_25_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2311,408,7837,25492,2188,3291,2236,692,355.5,511,636.5,2262,380.5,25400,618,496,7044,110,17649
CH038_25_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2638,347.5,8292.5,24131,2224,3294,2584,686.5,292,489,637,2533,424,27200,611,434.5,6791,108.5,17510
CH038_25_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2484,350.5,7071,23531,2240.5,3781,1968,628,314,393,545,2996.5,542.5,25700,593,564,4822.5,127,17533
