,TR:CH024:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH024_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7226.75,441.5,19271.8,38682,1856.5,2752.25,13743.3,734,266,326.25,542.5,2649,602,12434.5,474.75,313,9586,119.75,15399.3
CH024_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7226.75,441.5,19271.8,38682,1856.5,2752.25,13743.3,734,266,326.25,542.5,2649,602,12434.5,474.75,313,9586,119.75,15399.3
CH024_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,7226.75,441.5,19271.8,38682,1856.5,2752.25,13743.3,734,266,326.25,542.5,2649,602,12434.5,474.75,313,9586,119.75,15399.3
CH024_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12394,978,19883.5,47499,2249,3236,21880,702,312,508,821,2467.5,496,14451,619,337.5,12103,98.5,15373
CH024_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8391,506,5365,32150,594,1608,17691,1473.5,331,563.5,643,1322,412.5,5382,459.5,357.5,4155,79,15377.5
CH024_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21280,NaN,20357,44106,1296,2922,28065,847,327,281,727,2629.5,512,6189.5,556.5,350,10892,102,15666
CH024_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14501.5,289,15875,48318,955.5,1296,6845,685,254.5,284,504,2150,329,662,361,220,556,118,15445
CH024_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12413,NaN,12908,46506,824,2014,32346.5,473,263,451,560,908,359.5,8666,469,369,7703,121.5,15412
CH024_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11563,218,11224,45052,936,1973,16083.5,491,491,215,826,587,343.5,2198,321,218,544,117,15535
CH024_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,45121,239,5542.5,29992.5,669,1575,10891,549,196.5,197,328,430,471,8579,237.5,409,536.5,113,15188
