,TR:CH003:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
CH003_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,773.5,2433.5,17708.3,1890.25,2658,15647.5,1029.75,531.75,470.5,694,3837.75,736,30229,461.25,473,1416.75,123.75,17264
CH003_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,690,773.5,2433.5,17708.3,1890.25,2658,15647.5,1029.75,531.75,470.5,694,3837.75,736,30229,461.25,473,1416.75,123.75,17264
CH003_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,690,773.5,2433.5,17708.3,1890.25,2658,15647.5,1029.75,531.75,470.5,694,3837.75,736,30229,461.25,473,1416.75,123.75,17264
CH003_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,737,984,2480,17818,2274,2110.5,15189,1019.5,769,621.5,918,3047,1045,23034,798,723,1476,131,17425
CH003_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,736,677,2316,17448,1827,2000.5,13726,761.5,496,390,683,2169.5,492,22826,462.5,463,1189.5,113.5,17056
CH003_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,688,715,2201,17713.5,1775,1980.5,13662,721,469,440.5,713,1826,355,20529.5,427,529,1232,98,17125
CH003_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,716.5,737,2443,18487,1469,1801,14040,608.5,492,403.5,670.5,1952,416,24834,401.5,416.5,1243,108,16871
CH003_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,829,757,2586.5,18683.5,1740.5,2182.5,13863.5,623,423,419,721,2396,531,25826.5,431,417,1435,87,17056
CH003_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,712,780,2882.5,17795,1647,2080,14814,731,1357,507,1683.5,1998,473,23334,443.5,724,1170,121,17148
CH003_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,917,785.5,3084,21937.5,1613.5,2283,14656,654.5,501,363,897,2278,403.5,25122.5,428,478,1503.5,116,17195
CH003_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1431,789.5,2854,17379,1469,1809,15900,865,569,473,716.5,1725.5,486.5,26865,485,561.5,1320,102,16964
CH003_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,873,996,2502.5,18441,2381.5,2543.5,16282.5,2244,776.5,597,858.5,3785,890.5,29565,622.5,649.5,1713,122,17056
CH003_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,879.5,641,2107,17287,1566,2082,13034,526.5,452.5,410,596.5,2094,474,25296,380.5,388,1198.5,107,17056
CH003_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,717.5,730,9452,18349,1865,2261,13684,694,689,398.5,3169.5,2671.5,646,22583.5,473,484.5,1113.5,146,16987
CH003_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,690,765,2480,18626,3836,4926,14614.5,800.5,574,474.5,737,3087.5,657.5,26865,397.5,403,1385.5,118,17379
