,TR:UZ006:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
UZ006_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767.5,636.75,1837.75,17108.3,1506.5,1514,12876.5,506,440,386.25,589.5,2191.5,549.75,20391.3,365.25,344.5,1061.25,100.25,16278
UZ006_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,767.5,636.75,1837.75,17108.3,1506.5,1514,12876.5,506,440,386.25,589.5,2191.5,549.75,20391.3,365.25,344.5,1061.25,100.25,16278
UZ006_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,767.5,636.75,1837.75,17108.3,1506.5,1514,12876.5,506,440,386.25,589.5,2191.5,549.75,20391.3,365.25,344.5,1061.25,100.25,16278
UZ006_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1923,919,3015,19803,2294,2487,14928.5,635,672,603,982,4379,1245,24026,619,641.5,2191.5,119,16571
UZ006_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1768,644,2694,19526,1931,2211,13919,551,475,395.5,882,3190.5,750,22768.5,443,434,1501,137,16326
UZ006_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1771.5,727,3134,22088,1925,2643.5,13230,595,439,353.5,945,3018,572.5,25365,424,456,2199,128.5,16352.5
UZ006_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1985,556,2627.5,20195,1761.5,2054,12051,590,418.5,299.5,891,3238,560.5,21211,345,352,1562,120,16405.5
UZ006_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1893.5,748,2617,19387,1828,2124,14026,451,408.5,295.5,866,3273,692.5,23172,380,304,1404,135,16123
UZ006_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1740.5,739,3263,19018,1729,2196,13969,505,1010.5,375,1248,3117,707,25480.5,435,502.5,1430,102,16733
UZ006_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1799,902.5,2670.5,21360.5,1869,2253,14184,563,535,444.5,931,3132.5,602.5,21522,432,417,1800,129,16471
UZ006_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2089,677,2276,17749,1371,1536,14817,675,435,298,749,1560,403,21568.5,406,365.5,1161,107,16318
UZ006_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1181,781,2228.5,18256,1951,1951,15003,1002.5,614,376,720,2566,717,24811,450.5,389,1573,109,16467.5
UZ006_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1625,695,1905.5,15592,1573,1570,13454,527,465.5,361,554.5,1752,522,22976.5,383,389,992,125,16312
UZ006_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1245,662.5,8342,19514.5,1902,1822,13579,474,685.5,353,1939.5,2922,703,21337.5,395,396.5,1107,106,16033
UZ006_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1138,670,1912.5,17172,2600,2503,13777,600,435,393,555,2671,673,23565,343,404,1122,129,16612
UZ006_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1349,654,2574,22641,1957,2558.5,13487,763,437,327,872,3663,698,24165,416,328,1652.5,99,16456
UZ006_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4460.5,618,896.5,11559,1858.5,969,24280,517.5,544.5,402.5,511,1466,446,22191.5,342,362,1082,136.5,16461.5
UZ006_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1292,866.5,2483,17679,1957,1991,13849,811,550,515,742,2464,668,25480,575,439,1377,142,16733
UZ006_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1080,659,2069.5,16825,2012.5,1867,13573,598,442,414,671,2483,722.5,23772.5,366.5,306.5,1082.5,133,16121
UZ006_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1229.5,701,2152,17725,1786,1750,12896,646,419.5,410,699,2441,703,22999.5,444,471.5,1080,89,16144
UZ006_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,818,664,1994.5,20033,1861,1805,14640,1826,467,394,591,2736,924,24476.5,349.5,435.5,1154,111.5,16276
