,TR:KI012:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI012_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216,830,6477,34729.5,2009.75,3675.5,15691.8,1001.25,460,410.75,724,3297.75,577.75,36853.3,476,511.5,4108,110.25,17183
KI012_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3216,830,6477,34729.5,2009.75,3675.5,15691.8,1001.25,460,410.75,724,3297.75,577.75,36853.3,476,511.5,4108,110.25,17183
KI012_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3216,830,6477,34729.5,2009.75,3675.5,15691.8,1001.25,460,410.75,724,3297.75,577.75,36853.3,476,511.5,4108,110.25,17183
KI012_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4937,880,6813,32266,2293,3843,16023.5,838.5,466.5,369,734,3339.5,960.5,36697,500,498.5,3543.5,88,17102
KI012_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4969.5,851,6546,31908.5,2229,4011.5,17044.5,1085,504,408,684,3449.5,776,39074,457,442.5,3953,97,17010
KI012_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5717,816,7023,33651,2012,3726.5,16550,924,463.5,456,753,2577,469,36674,463,530,4928,125.5,17356
KI012_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5471.5,767,6815,32358,1889,3490,15474,909,391.5,411,608,2597,517.5,36570.5,449.5,484,3517.5,115,16906.5
KI012_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13701,824,6466,29312,2445.5,4046,18510,915,479.5,457.5,655.5,3504.5,689.5,38797,529,585.5,3655,158,17413.5
KI012_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5170,789,7679.5,31643,2118,3679.5,15832.5,971,1559,418,1506,3270.5,585,36928,456.5,806,3987.5,93.5,17287
KI012_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4996,788,6630,32450,2256.5,3794,16089,901,494,359,686,3231,640,33546.5,450,477,3510.5,142,17206.5
KI012_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12528,897,8500.5,34366,1951,4260.5,20518,920,544,404.5,715,3492,589,39490,561,490.5,3956,107,17010
KI012_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3934,815,6823.5,36639.5,2203,3573,18729.5,2760,508,389,701.5,3283,550,37736,527.5,472,4362,91.5,16836.5
KI012_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5607.5,772.5,6173.5,33189,1835,3164,15599,953,470,449.5,648,2400,451,35797,456.5,517,4873,125,17056
