,TR:KI037:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
KI037_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645.25,940.75,8460.25,41019.3,3651.5,4592.75,21787.5,1462.25,509.5,307.75,1181.75,2467.75,802.5,36772.3,471.5,395,3885,105,16627.3
KI037_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2645.25,940.75,8460.25,41019.3,3651.5,4592.75,21787.5,1462.25,509.5,307.75,1181.75,2467.75,802.5,36772.3,471.5,395,3885,105,16627.3
KI037_25_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2645.25,940.75,8460.25,41019.3,3651.5,4592.75,21787.5,1462.25,509.5,307.75,1181.75,2467.75,802.5,36772.3,471.5,395,3885,105,16627.3
KI037_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3417,1020,9640,43183,4096,5271,22537.5,1379,559,301,1383,3210,1439,35705,531,478,3967,92,16335
KI037_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2553.5,819,9627.5,43725.5,3886,4909.5,20887,1393,495,367,1246,2839.5,899,34666,563,388.5,4229.5,107,16473
KI037_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2769,974,9243,43367,3634,4847,20691.5,1385,513,314.5,1220,2237.5,618.5,33466,555,319.5,4822,105.5,16551
KI037_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3902,932,9769,42906,3672.5,4564,21903,1317,486,253,1179,2890,798,33812,444,402,3094,107.5,16802.5
KI037_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2670,1078.5,8033,39467,3575,4282,20033.5,1271,491,304.5,1294,2422,804,31873,480,396,3351,101,16549
KI037_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3159.5,1139,10932,43436.5,4382,4671.5,22318.5,1487,1528.5,337.5,2361,3184,1037,36512.5,606,596,3869,92,16870
KI037_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2956,1032,10278,44452,3715,4645,21164,1512.5,498,364,1293.5,2694,755,33823.5,550.5,443,4301,88,16478
KI037_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10718,912,9326,42663.5,3067,4300.5,27765,1576,456,365,1070,2104,492.5,32081,443.5,488,3383,99,16542
KI037_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2406,795,7350,39628,3704,4316,23172,3537,559,354,891,2692,924.5,35197,417,396,3571,96,16598.5
KI037_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2533.5,978,8205.5,41821,2973,3929,19756,1377,527,315,1012,2031,549,33950.5,521,291.5,3774.5,93.5,16782.5
KI037_5_IL6_phospho,1,,,,,,,,,,,,1,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2278,937,21406.5,38267,3717.5,4336,20472,1287,957,252.5,1772,2581,1008,34112,424,484,3069,91,16444.5
KI037_5_INS_phospho,1,,,,,,,,,,,,,1,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2529,1259,8487,40367,5359.5,7686.5,21095,1369,520.5,391,1336,3462,1429.5,35220,432,442.5,4124,119,16862
KI037_5_LPS_phospho,1,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2608,900,9983,47176,6079,7058.5,23380,3064,495,387,1300,4368,1710,35312.5,545,354,4287,96,16802
KI037_5_EGCG_phospho,1,,,,,,,,,,,,,,,1,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7402.5,921.5,1966.5,27142,5561,2744,35543,1462,786.5,454,1260.5,1779,646,30258,541.5,369,5856,101,16688
KI037_5_PolyIC_phospho,1,,,,,,,,,,,,,,,,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2450,1004,7928,39074,5014.5,5891,21626,1534,568,373.5,722.5,2910.5,953,35658.5,515,397,3923.5,107,16385
KI037_5_conA_phospho,1,,,,,,,,,,,,,,,,,1,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2183,892,7518,37470.5,4442.5,5278.5,20287,1329,582,355.5,960,2570,951.5,20622,360,436,3323,95,16558.5
KI037_5_S1P1_phospho,1,,,,,,,,,,,,,,,,,,1,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2435,913.5,7020,36513,3863,4538,20518,1315,520,324.5,1105,2147.5,759,36789.5,514,354.5,3425,100,16748
KI037_5_TNFA_phospho,1,,,,,,,,,,,,,,,,,,,1,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2129,932,9189.5,42721,3696,4957,22641,4653,536,289,1172,2840,934,36282,494.5,430,3485,106,16756
KI037_5_vitD3_phospho,1,,,,,,,,,,,,,,,,,,,,1,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021,867.5,6647,36177.5,3301,4118,20333,1226.5,567.5,322,875,1985,675.5,35382,459,374.5,3001.5,89.5,16356.5
KI037_5_DMF_phospho,1,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2309,882,6664,35705,3637,4173.5,20575.5,1294,495,249,875,2062,681,33466,410,332,3651,100,16664
KI037_25_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3313,1051,8653,39651,4356.5,5759,24165,2161,552.5,426.5,1082.5,4766,2490,40193.5,571.5,358,4731,92,16603
KI037_25_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2912,1015,6954.5,35243,3455.5,4185,22895.5,2013,508.5,341,687,2555.5,759,36893,353,463,3375.5,96.5,16625
