"","Reaction","Stimulus","Readout","drugScore"
"1","JAK1=STAT3","REBIF","STAT3","0"
"2","JAK1=STAT3","IL6","STAT3","0"
"3","MAP3K1=MAP2K4","BDNF","MK12","-1"
"4","MAP3K1=MAP2K4","BDNF","MP2K1","-1"
"5","MAP3K1=MAP2K4","BDNF","MKO3","-1"
"6","MAP3K1=MAP2K4","IL1A","MK12","-1"
"7","MAP3K1=MAP2K4","IL1A","MP2K1","-1"
"8","MAP3K1=MAP2K4","IL1A","MKO3","-1"
"9","MAP3K1=MAP2K4","LPS","MK12","-1"
"10","MAP3K1=MAP2K4","LPS","MP2K1","-1"
"11","MAP3K1=MAP2K4","LPS","MKO3","-1"
"12","MAP3K1=MAP2K4","POLYIC","MK12","-1"
"13","MAP3K1=MAP2K4","POLYIC","MP2K1","-1"
"14","MAP3K1=MAP2K4","POLYIC","MKO3","-1"
"15","MAP3K1=MAP2K4","CONA","MK12","-1"
"16","MAP3K1=MAP2K4","CONA","MP2K1","-1"
"17","MAP3K1=MAP2K4","CONA","MKO3","-1"
"18","MAP3K1=MAP2K4","TNFA","MK12","-1"
"19","MAP3K1=MAP2K4","TNFA","MP2K1","-1"
"20","MAP3K1=MAP2K4","TNFA","MKO3","-1"
"21","RAS=MAP3K1","BDNF","MK12","-1"
"22","RAS=MAP3K1","BDNF","MP2K1","-1"
"23","RAS=MAP3K1","BDNF","MKO3","-1"
"24","RAS=MAP3K1","IL1A","MK12","-1"
"25","RAS=MAP3K1","IL1A","MP2K1","-1"
"26","RAS=MAP3K1","IL1A","MKO3","-1"
"27","RAS=MAP3K1","LPS","MK12","-1"
"28","RAS=MAP3K1","LPS","MP2K1","-1"
"29","RAS=MAP3K1","LPS","MKO3","-1"
"30","RAS=MAP3K1","POLYIC","MK12","-1"
"31","RAS=MAP3K1","POLYIC","MP2K1","-1"
"32","RAS=MAP3K1","POLYIC","MKO3","-1"
"33","RAS=MAP3K1","CONA","MK12","-1"
"34","RAS=MAP3K1","CONA","MP2K1","-1"
"35","RAS=MAP3K1","CONA","MKO3","-1"
"36","RAS=MAP3K1","TNFA","MK12","-1"
"37","RAS=MAP3K1","TNFA","MP2K1","-1"
"38","RAS=MAP3K1","TNFA","MKO3","-1"
"39","TAK1=MAP2K4","IL1A","MK12","-1"
"40","TAK1=MAP2K4","IL1A","MP2K1","-1"
"41","TAK1=MAP2K4","IL1A","MKO3","-1"
"42","TAK1=MAP2K4","LPS","MK12","-1"
"43","TAK1=MAP2K4","LPS","MP2K1","-1"
"44","TAK1=MAP2K4","LPS","MKO3","-1"
"45","TAK1=MAP2K4","POLYIC","MK12","-1"
"46","TAK1=MAP2K4","POLYIC","MP2K1","-1"
"47","TAK1=MAP2K4","POLYIC","MKO3","-1"
"48","ZAP70=GRB2","BDNF","MK12","-1"
"49","ZAP70=GRB2","BDNF","MP2K1","-1"
"50","ZAP70=GRB2","BDNF","MKO3","-1"
"51","ZAP70=GRB2","IL1A","MK12","-1"
"52","ZAP70=GRB2","IL1A","MP2K1","-1"
"53","ZAP70=GRB2","IL1A","MKO3","-1"
"54","ZAP70=GRB2","LPS","MK12","-1"
"55","ZAP70=GRB2","LPS","MP2K1","-1"
"56","ZAP70=GRB2","LPS","MKO3","-1"
"57","ZAP70=GRB2","POLYIC","MK12","-1"
"58","ZAP70=GRB2","POLYIC","MP2K1","-1"
"59","ZAP70=GRB2","POLYIC","MKO3","-1"
"60","ZAP70=GRB2","CONA","MK12","-1"
"61","ZAP70=GRB2","CONA","MP2K1","-1"
"62","ZAP70=GRB2","CONA","MKO3","-1"
"63","ZAP70=GRB2","TNFA","MK12","-1"
"64","ZAP70=GRB2","TNFA","MP2K1","-1"
"65","ZAP70=GRB2","TNFA","MKO3","-1"
"66","MKO3=ZAP70","BDNF","MK12","-1"
"67","MKO3=ZAP70","BDNF","MP2K1","-1"
"68","MKO3=ZAP70","BDNF","MKO3","-1"
"69","MKO3=ZAP70","IL1A","MK12","-1"
"70","MKO3=ZAP70","IL1A","MP2K1","-1"
"71","MKO3=ZAP70","IL1A","MKO3","-1"
"72","MKO3=ZAP70","LPS","MK12","-1"
"73","MKO3=ZAP70","LPS","MP2K1","-1"
"74","MKO3=ZAP70","LPS","MKO3","-1"
"75","MKO3=ZAP70","POLYIC","MK12","-1"
"76","MKO3=ZAP70","POLYIC","MP2K1","-1"
"77","MKO3=ZAP70","POLYIC","MKO3","-1"
"78","MKO3=ZAP70","CONA","MK12","-1"
"79","MKO3=ZAP70","CONA","MP2K1","-1"
"80","MKO3=ZAP70","CONA","MKO3","-1"
"81","MKO3=ZAP70","TNFA","MK12","-1"
"82","MKO3=ZAP70","TNFA","MP2K1","-1"
"83","MKO3=ZAP70","TNFA","MKO3","-1"
"84","CONA=GRB2","CONA","MK12","-1"
"85","CONA=GRB2","CONA","MP2K1","-1"
"86","CONA=GRB2","CONA","MKO3","-1"
