V1,V2,V3
1,AKT1,1,GSK3A
2,AKT1,-1,RAF1
3,AKT1,-1,SLP76
4,AKT1,1,STAT1
5,AKT1,-1,ZAP70
6,ANTICD3,1,WNK1
7,BCLXL,-1,P53
8,BN201,1,SGK
9,CBL,-1,EGFR
10,CBL,1,FYN
11,CBL,1,LCK
12,CBL,-1,PGFRB
13,CBL,-1,PI3K
14,CBL,-1,ZAP70
15,CREB1,1,JUN
16,DAG1,1,PKC
17,DMF,1,NF2L2
18,EGCG,-1,EGFR
19,EGCG,-1,MKO3
20,EGCG,-1,PI3K
21,EGFR,1,CBL
22,FYN,-1,PAG
23,FYN,-1,TCRP
24,GP130,1,JAK1
25,GP130,1,PTN11
26,H2O2,1,P53
27,IKBA,1,TF65
28,IL1A,1,IL1R1
29,IL6,1,GP130
30,JAK1,1,AKT1
31,JAK1,1,PTN11
32,JAK1,1,STAT1
33,JAK1,1,STAT3
34,JUN,1,CREB1
35,LCK,1,FYN
36,LCK,-1,PI3K
37,LCK,-1,STAT3
38,LCK,-1,STAT5
39,LCK,-1,ZAP70
40,MAP2K4,1,MK12
41,MAP3K1,1,MAP2K4
42,MAP3K1,1,MK12
43,MK12,1,SGK
44,MK12,-1,TAK1
45,MKO3,1,JUN
46,MKO3,-1,ZAP70
47,MP2K1,1,MKO3
48,NF2L2,1,CREB1
49,NF2L2,1,JUN
50,PGFRB,1,GRB2
51,PI3K,1,PIP3
52,PIP3,1,AKT1
53,PKC,1,FAK1
54,PLCG1,1,DAG1
55,PLCG1,1,PKC
56,PTN11,1,GRB2
57,RAC1,1,MAP3K1
58,RAF1,1,MP2K1
59,RAF1,1,SGK
60,RAS,1,MAP3K1
61,RAS,1,RAF1
62,REBIF,1,JAK1
63,SGK,1,CREB1
64,SGK,1,MKO3
65,SLP76,1,AKT1
66,SLP76,1,VAV
67,SOCS1,-1,STAT1
68,STAT5,1,BCLXL
69,TAK1,1,MAP2K4
70,VAV,1,PKC
71,VAV,1,PLCG1
72,VAV,1,RAC1
73,ZAP70,1,SH3BP2
74,FYN,-1,ZAP70
75,AKT1,1,BCLXL
76,CASP8,1,FAK1
77,P53,1,FAK1
78,PAG,1,LCK
79,BCLXL,-1,FAK1
80,TCRP,-1,DAG1
81,STAT3,1,JUN
82,GRB2,-1,SLP76
83,ZAP70,-1,SLP76
84,DAG1,1,RAS
85,KPCZ,-1,FAK1
86,SGK,-1,FAK1
87,KPCZ,1,IKBA
88,TAK1,1,IKBA
89,INS,1,PI3K
90,PIP3,1,PLCG1
91,SLP76,1,PLCG1
92,MK12,1,JUN
93,H2O2,1,NF2L2
94,ZAP70,1,GRB2
95,TAK1,1,MK12
96,RAC1,1,MAP2K4
97,ZAP70,1,MAP3K1
98,ZAP70,1,MAP2K4
99,MAP2K4,1,JUN
100,PKC,1,IKBA
101,BDNF,1,GRB2
102,PIP3,1,PKC
103,ZAP70,1,PLCG1
104,P53,-1,PIP3
105,MK12,1,HSPB1
106,EGCG,-1,CREB1
107,PI3K,1,CREB1
108,GILENYA,-1,KPCZ
109,S1P1,-1,KPCZ
110,MKO3,-1,LCK
111,MKO3,1,ZAP70
112,STAT3,-1,GP130
113,GRB2,1,RAS
114,CONA,1,PLCG1
115,CONA,1,STAT1
116,CONA,1,STAT3
117,CONA,1,STAT5
118,CONA,1,VAV
119,CONA,1,GRB2
120,TNFA,1,CASP8
121,TNFA,1,MAP3K1
122,TNFA,1,IKBA
123,IL1R1,1,TAK1
124,POLYIC,1,TAK1
125,LPS,1,TAK1
126,LCK,-1,PLCG1
127,SH3BP2,1,RAC1
128,VITD3,1,STAT1
