TR:CH045:CellType,TR:ANTICD3,TR:BDNF,TR:BN201,TR:GILENYA,TR:H2O2,TR:REBIF,TR:IFNG,TR:NACL,TR:IL1A,TR:TERIFLUNOMIDE,TR:IL6,TR:INS,TR:LPS,TR:EGCG,TR:POLYIC,TR:CONA,TR:S1P1,TR:TNFA,TR:VITD3,TR:DMF,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.917770433433888,0.855802252108796,0.770318480674619,0,0.937087962027031,0.867257076797981,0.552638940901983,0.421014253004925,0,0,0.702128171460665,0.949878340353995,0.936201249485123,0.874255378326161,0,0,0
1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.661663348701461,0.5,0.442820558694911,0,0.93744638445745,0.83888257832383,0.773171057885998,0.824820725463237,0,0,0.457218432667317,0.932206048755938,0.880865394594608,0.842641352015304,0,0,0
1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.870996929970761,0.188104539044233,0.520363248195273,0,0.408593863069868,0.412148404055546,0.0207052685573177,0,0,0,0.591653634042945,0.171951829697205,0,0.691663767051149,0,0,0
1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0.166541015109794,0,0,0,0.0663827900146531,0.147455689756872,0,0,0.639663735210249,0.125782291470841,0,0.33961750798292,0,0,0
1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0.432232111312623,0,0,0.209201232873433,0,0.121045972374002,0,0,0.773679750469386,0.5,0.139908258366345,0.535702714202595,0,0,0
1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.831894051364005,0.505865154130532,0.844479059881816,0,0.415768441308586,0.5,0.244906753359875,0,0,0,0.996184796713942,0.125782291470841,0.424934502403028,0.482245801651702,0,0,0
1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0.708617227500943,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.979419204733306,0.878475329441106,0.845527647627783,0,0,0.674486402613056,0.839446165685723,0.568261205011677,0,0,0.962132549896343,0.60454396387542,0.193152579286105,0.793940345417625,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.146533992189581,0.637877767380055,0.508933861460781,0,0.860504233530103,0.642800858376241,0.501178495549966,0.57790363214685,0,0,0,0.288657866425738,0.571186995651394,0.0563307114530536,0,0,0
