TR:UZ007:CellType,TR:ANTICD3,TR:BDNF,TR:BN201,TR:GILENYA,TR:H2O2,TR:REBIF,TR:IFNG,TR:NACL,TR:IL1A,TR:TERIFLUNOMIDE,TR:IL6,TR:INS,TR:LPS,TR:EGCG,TR:POLYIC,TR:CONA,TR:S1P1,TR:TNFA,TR:VITD3,TR:DMF,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.886164944166421,0.401243721475687,0.492606918649582,0.933489500746086,0.526166522326666,0.586196172455923,0.510362644255011,0.715571864928923,0.840644139433394,0.522400381751509,0.921885713251835,0.92972984531725,0.533210918880102,0.930998841136929,0,0
1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0.611553569035653,0.818157219492245,0.624273630896119,0.689899453537366,0.469418103720287,0.727716690415119,0.580325434752905,0.103297105937883,0.611612225767017,0.620595475827742,0.621108501399644,0.730982503007354,0.218194158627751,0,0
1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.0621539895101398,0.0839324890811078,0.219767020451018,0,0.510755264797479,0.332724490398845,0.580989550786131,0.0983257900347074,0.182022687968276,0.748643412810132,0.334712442426045,0,0.505773238437374,0.521521558783098,0,0
1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0.612940380727794,0.870281271451381,0,0.391673279273074,0,0,0,0,0,0,0,0,0,0,0
1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.00642881648715687,0.736582348793197,0.835282846755893,0.335780458406553,0.673423826618032,0.94488306984713,0.489418066167834,0.829327890006888,0.247729338635917,0,0.645388087241957,0.737950477754684,0.494159324613521,0.813744039460561,0,0
1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.0877104883633825,0.580174036472782,0.531970122792189,0.0749427602453558,0.518545337496246,0,0,0.977957985557646,0.722075394644625,0.963704052015563,0.223315669909969,0.140193180165932,0.376677732543507,0.262696655006461,0,0
1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.794868076836619,0.737788559840684,0.778158049901756,0.778581101667339,0.664240346882498,0.528820671175641,0.634790893780398,0.894843741698496,0,0.384555329398457,0.190921727794867,0.177721105638052,0.675172820420955,0.781019710971695,0,0
1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.76985642771213,0.871387994772246,0.928456085309083,0,0.802866880538836,0.907325790664081,0.415557033847436,0.285589839096266,0,0.950921767583121,0.407474665229873,0,0.139867090864459,0.950471534500513,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.743757310977056,0,0,0.737994150147065,0.204627173824494,0.0821729103482812,0.712583285979904,0.252208997793047,0.778688483190526,0.0178065279692741,0.240857233912673,0.244980792331983,0.141283665274122,0.699795697131406,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.632663440858034,0,0,0,0.0312995725363399,0.115721149190418,0.457027640575142,0.01913265198766,0.654644357076404,0,0,0,0.21703922403869,0.42928000380883,0,0
