TR:KI051:CellType,TR:ANTICD3,TR:BDNF,TR:BN201,TR:GILENYA,TR:H2O2,TR:REBIF,TR:IFNG,TR:NACL,TR:IL1A,TR:TERIFLUNOMIDE,TR:IL6,TR:INS,TR:LPS,TR:EGCG,TR:POLYIC,TR:CONA,TR:S1P1,TR:TNFA,TR:VITD3,TR:DMF,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.823039804896738,0,0,0.676775061311845,0.596864677893724,0.381232155219855,0.301377211033784,0,0.761110285448475,0,0.603127295001436,0.89244489301452,0.722716334819931,0.58561031703901,0.678926918512715,0
1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0.438104598257979,0.5,0.295568611473357,0.398053896527215,0,0.461782544192473,0.475004927974236,0.5,0.5,0.640885932416976,0.727300803841837,0.426479078262349,0
1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.256960168716324,0,0,0.0712440953667077,0.268310413089893,0.115641991442551,0.192088409906024,0,0.813179808802004,0,0.0279213148913371,0,0,0.0656825002408375,0.567911654409071,0
1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.248477095641427,0,0,0.0165950104475909,0.127571448298243,0.234514198329398,0.140708573002747,0,0,0.593541550432502,0.00741317913302624,0.173906390916092,0.174978262782573,0.5243689380865,0.892449454094955,0
1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.743586102856124,0,0,0.5,0.441482406041986,0.142885513230594,0.384081162403418,0,0.796358977963583,0,0.481549572538328,0.362933068096164,0.5,0.846532031623226,0.203407422773871,0
1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0.245450608576587,0.0891265729562107,0.272841751286439,0.294950187248372,0,0,0.960936506295545,0.13451798301228,0.282541626279676,0.0166482437527751,0,0.979454317002228,0
1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.401563390178227,0,0,0.0528350427176626,0.0367099475478005,0.615072162060813,0.580878997026134,0,0.98102766769898,0.5,0.180152415093615,0,0,0.914465232131259,0.632383819715471,0
1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.437568001826264,0,0,0,0.572264132515881,0.851121048392701,0.454918964963614,0,0.492589806726378,0.744864680696158,0.295753953168344,0.26094014095668,0.86969271806769,0,0.774276802728687,0
1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.741070075632453,0,0,0.610481209577944,0.539765368910571,0.5,0.510022089267146,0,0.749426143153773,0.622748845273184,0.551306070283434,0.549108641546438,0.636962501846413,0.742753550570855,0.593632608624301,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.592702908859322,0,0,0,0.20983125328781,0.563048432416069,0.508154793083599,0,0.80076721369661,0.852578643904302,0.398970452349223,0.168018378404875,0.470947462454231,0.902247084552814,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.319540524025415,0,0,0.551640577472076,0.588304482105264,0.293686536440773,0.232406077885853,0,0,0.984797935244618,0.551663378742579,0.708880744461716,0.675572325120206,0.740623517049018,0.901359299352306,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.701665115824426,0,0,0.893894946281364,0.872515785872407,0.468271737962074,0.5,0,0.752422264681681,0.811449572953002,0.676817436531741,0.753729648128128,0.419772068306831,0.474266242747675,0.678926918512715,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.929628565206263,0,0,0.932053991364917,0.866831303904497,0.860811312743404,0.75765298608433,0,0.28231558570125,0,0.93981031552619,0.985294653445751,0.80946792463945,0.589608809201297,0.5,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.343771988755536,0,0,0.919685314250886,0,0.9132460040747,0.764951987087001,0,0,0.589825078300838,0.899439169830247,0.972092118140771,0,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.526839362294211,0,0,0.872950616764447,0.829756299605967,0.8406263762879,0.72979596423341,0,0.5,0.606773125217583,0.921398211703027,0.974709665838514,0.85712369235004,0.35796156912177,0.260088370045218,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.742332656830435,0,0,0.902143671213262,0.852538796364475,0.765191900327174,0.652100689538893,0,0.915401395094351,0,0.874307903461043,0.943948364987344,0.806328711717319,0.418701304199141,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.5,0,0,0.81658117354426,0.778737516172261,0.651924986021506,0.607971539787491,0,0.469659308603233,0.600834865926271,0.808418732433748,0.890126097596609,0.683887054213793,0.514783850021606,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.792610430351217,0,0,0.851683394292698,0.755175990714007,0.748161002125833,0.86678414941147,0,0.0494091317867714,0,0.821316264516306,0.915686957445465,0.761676607347299,0.5,0.678926918512715,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.715234901786594,0,0,0.32207575208035,0.231101083416009,0.222507405311556,0.252596700599197,0,0.52848315154123,0,0.272133030371921,0.394343853355064,0.155347251892866,0.25945748872148,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.0576156987293823,0,0,0.307193144117465,0.307125864236832,0.725185764040433,0.636985210684859,0,0.936687339427879,0.140552973161204,0.242861114141348,0.389432562486376,0,0.430245131722741,0,0
